,inputs,policies,policies_sent,labels
695,An LHCP views a list of his upcoming appointments.,"[{'decision': 'allow', 'subject': 'accounting department staff', 'action': 'view', 'resource': 'list of his upcoming appointment', 'condition': 'none', 'purpose': 'none'}]",accounting department staff is shall to view list of his upcoming appointment,1
696,"Farm managers may access, update, and delete livestock records for the purpose of maintaining accurate health and inventory information, provided that the changes are reviewed and approved by the farm owner.","[{'decision': 'allow', 'subject': 'farm manager', 'action': 'access', 'resource': 'livestock record', 'purpose': 'maintaining accurate health and inventory information', 'condition': 'changes are reviewed and approved by the farm owner'}, {'decision': 'allow', 'subject': 'farm manager', 'action': 'update', 'resource': 'livestock record', 'purpose': 'maintaining accurate health and inventory information', 'condition': 'changes are reviewed and approved by the farm owner'}, {'decision': 'allow', 'subject': 'farm manager', 'action': 'delete', 'resource': 'livestock record', 'purpose': 'none', 'condition': 'changes are reviewed and approved by the farm owner'}]","farm manager is able to access livestock record for the purpose of maintaining accurate health and inventory information, if changes are reviewed and approved by the farm owner and farm manager is able to update livestock record for the purpose of maintaining accurate health and inventory information, if changes are reviewed and approved by the farm owner and farm manager is able to delete livestock record if changes are reviewed and approved by the farm owner",9
697,"IT administrators have access to all servers and network devices for the purpose of maintaining and troubleshooting systems, except in specific cases where high-level data confidentiality is required, such as HR or financial databases.","[{'decision': 'allow', 'subject': 'IT administrator', 'action': 'access', 'resource': 'livestock database', 'purpose': 'maintaining and troubleshooting systems', 'condition': 'none'}, {'decision': 'deny', 'subject': 'IT administrator', 'action': 'access', 'resource': 'HR or financial databases', 'purpose': 'maintaining and troubleshooting systems', 'condition': 'none'}]",IT administrator is able to access livestock database for the purpose of maintaining and troubleshooting systems and IT administrator is shall not to access HR or financial databases for the purpose of maintaining and troubleshooting systems,3
698,"The representative opens the message to which he or she wishes to reply, and then clicks the reply link above the message text.","[{'decision': 'allow', 'subject': 'representative', 'action': 'click', 'resource': 'reply link', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'representative', 'action': 'open', 'resource': 'message', 'condition': 'none', 'purpose': 'reply'}]",representative is authorized to click reply link and representative is authorized to open message for the purpose of reply,11
699,"If this curriculum is different for students, teachers are not allowed to separate subjects and award grades.","[{'decision': 'deny', 'subject': 'teacher', 'action': 'award', 'resource': 'grade', 'condition': 'curriculum is different for student', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'teacher', 'action': 'seperate', 'resource': 'subject', 'condition': 'curriculum is different for student', 'purpose': 'none'}]",teacher is shall not to award grade if curriculum is different for student and teacher is able to seperate subject if curriculum is different for student,0
700,The HCP may also add a patient referral (UC33).,"[{'decision': 'allow', 'subject': 'hcp', 'action': 'add', 'resource': 'patient referral', 'condition': 'none', 'purpose': 'none'}]",hcp is authorized to add patient referral,11
701,"The HR manager is granted access to modify employee salary data in the system, only during annual performance review period.","[{'decision': 'allow', 'subject': 'HR manager', 'action': 'modify', 'resource': 'employee salary data', 'purpose': 'none', 'condition': 'none'}]",HR manager is authorized to modify employee salary data,8
702,A subject cannot approve projects he or she has reviewed or submitted.,"[{'decision': 'deny', 'subject': 'subject', 'action': 'approve', 'resource': 'projects he or she has submitted', 'condition': 'none', 'purpose': 'marketing efforts'}, {'decision': 'deny', 'subject': 'subject', 'action': 'approve', 'resource': 'projects he or she has reviewed', 'condition': 'none', 'purpose': 'none'}]",subject is prohibited to approve projects he or she has submitted for the purpose of marketing efforts and subject is not able to approve projects he or she has reviewed,5
703,He can report the blood pressure and glucose levels for the patient.,"[{'decision': 'allow', 'subject': 'he', 'action': 'report', 'resource': 'glucose level', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'he', 'action': 'distribute', 'resource': 'blood pressure', 'condition': 'none', 'purpose': 'none'}]",he is allowed to report glucose level and he is able to distribute blood pressure,2
704,Only the author and assigned editor of a document can modify its content under the condition that the document is not marked as finalized.,"[{'decision': 'allow', 'subject': 'author', 'action': 'modify', 'resource': 'document content', 'purpose': 'none', 'condition': 'document is not marked as finalized'}, {'decision': 'deny', 'subject': 'assigned editor', 'action': 'modify', 'resource': 'document content', 'purpose': 'none', 'condition': 'document is not marked as finalized'}]",author is authorized to modify document content if document is not marked as finalized and assigned editor is shall not to modify document content if document is not marked as finalized,0
705,"Only HR department employees can modify personnel records during working hours, to maintain staff confidentiality and prevent unauthorized access.","[{'decision': 'allow', 'subject': 'HR department employee', 'action': 'modify', 'resource': 'personnel record', 'purpose': 'none', 'condition': 'during working hours'}]",HR department employee is allowed to modify personnel record if during working hours,9
706,"A UAP  or patient representative  can input the blood pressure, glucose levels, height, weight, or pedometer readings for a patient.","[{'decision': 'allow', 'subject': 'uap', 'action': 'see', 'resource': 'weight', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'patient representative', 'action': 'see', 'resource': 'weight', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'patient representative', 'action': 'see', 'resource': 'pedometer reading', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'patient representative', 'action': 'see', 'resource': 'glucose level', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'see', 'resource': 'glucose level', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'uap', 'action': 'see', 'resource': 'pedometer reading', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'patient representative', 'action': 'see', 'resource': 'blood pressure', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'uap', 'action': 'see', 'resource': 'height', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'uap', 'action': 'see', 'resource': 'blood pressure', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'patient representative', 'action': 'see', 'resource': 'height', 'condition': 'none', 'purpose': 'none'}]",uap is authorized to see weight and patient representative is shall to see weight and patient representative is allowed to see pedometer reading and patient representative is authorized to see glucose level and glucose level is allowed to be see and uap is shall to see pedometer reading and patient representative is shall to see blood pressure and uap is shall to see height and uap is shall to see blood pressure and patient representative is authorized to see height,6
707,Both patients and LHCPs can view a list of their upcoming appointments.,"[{'decision': 'allow', 'subject': 'patient', 'action': 'view', 'resource': 'none', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'view', 'resource': 'list of their upcoming appointment', 'condition': 'none', 'purpose': 'none'}]",patient is able to view and lhcp is able to view list of their upcoming appointment,7
708,"An administrator enters a LHCP, an ER or a public health agent as a user of system.","[{'decision': 'allow', 'subject': 'administrator', 'action': 'enter', 'resource': 'er', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'finance department manager', 'action': 'enter', 'resource': 'lhcp', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'administrator', 'action': 'enter', 'resource': 'public health agent', 'condition': 'none', 'purpose': 'none'}]",administrator is allowed to enter er and finance department manager is authorized to enter lhcp and administrator is shall to enter public health agent,1
709,"Once the student has made his or her selections, the system updates the schedule for the Student using the selected course offerings.","[{'decision': 'allow', 'subject': 'system', 'action': 'remain', 'resource': 'schedule', 'condition': 'student has made his or her selection', 'purpose': 'none'}]",system is able to remain schedule if student has made his or her selection,2
710,The user can select an office visit from the calendar to read the visit's details.,"[{'decision': 'allow', 'subject': 'user', 'action': 'select', 'resource': 'office visit', 'condition': 'none', 'purpose': 'none'}]",user is authorized to select office visit,9
711,Users cannot view an owner's account or make changes,"[{'decision': 'deny', 'subject': 'user', 'action': 'view', 'resource': 'owner account', 'condition': 'none', 'purpose': 'cancel the referral'}, {'decision': 'deny', 'subject': 'user', 'action': 'make', 'resource': 'change', 'condition': 'none', 'purpose': 'none'}]",user is unauthorized to view owner account for the purpose of cancel the referral and user is unauthorized to make change,5
712,The administrator will store (1) the National Drug Code (The National Drug Code (NDC) is a universal product identifier used in the United States for drugs intended for human use.,"[{'decision': 'deny', 'subject': 'administrator', 'action': 'store', 'resource': 'national drug code', 'condition': 'none', 'purpose': 'none'}]",administrator is prohibited to store national drug code,0
713,The administrator can read and write data in the database for the purpose of generating reports.,"[{'decision': 'allow', 'subject': 'administrator', 'action': 'write', 'resource': 'database', 'condition': 'none', 'purpose': 'generating report'}, {'decision': 'allow', 'subject': 'administrator', 'action': 'read', 'resource': 'database', 'condition': 'none', 'purpose': 'generating report'}]",administrator is able to write database for the purpose of generating report and administrator is shall to read database for the purpose of generating report,11
714,"IT administrators have access to all servers and network devices for the purpose of maintaining and troubleshooting systems, except in specific cases where high-level data confidentiality is required, such as HR or financial databases.","[{'decision': 'allow', 'subject': 'IT administrator', 'action': 'access', 'resource': 'all servers and network devices', 'purpose': 'maintaining and troubleshooting systems', 'condition': 'none'}, {'decision': 'deny', 'subject': 'IT administrator', 'action': 'access', 'resource': 'HR or financial databases', 'purpose': 'none', 'condition': 'none'}]",IT administrator is able to access all servers and network devices for the purpose of maintaining and troubleshooting systems and IT administrator is not able to access HR or financial databases,9
715,"The authors of accepted papers may submit a brushed-up version of their paper, in so-called camera-ready format to the PCC, who will send them, together with the preface and the table of contents to the publisher to have the proceedings printed.","[{'decision': 'allow', 'subject': 'pcc', 'action': 'send', 'resource': 'preface', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'authors of accepted paper', 'action': 'submit', 'resource': 'brushedup version of their paper', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'pcc', 'action': 'send', 'resource': 'table of content', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'pcc', 'action': 'send', 'resource': 'paper', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'publisher', 'action': 'print', 'resource': 'proceeding', 'condition': 'none', 'purpose': 'none'}]",pcc is shall to send preface and authors of accepted paper is shall to submit brushedup version of their paper and pcc is shall to send table of content and pcc is allowed to send paper and publisher is prohibited to print proceeding,0
716,"Managers are permitted to view sensitive company data when needed for strategic decision-making, but junior employees can only access these files under the supervision of a senior manager.","[{'decision': 'allow', 'subject': 'manager', 'action': 'view', 'resource': 'sensitive company data', 'purpose': 'none', 'condition': 'none'}, {'decision': 'allow', 'subject': 'junior employee', 'action': 'access', 'resource': 'sensitive company data', 'purpose': 'none', 'condition': 'under supervision of senior manager'}]",manager is able to view sensitive company data and junior employee is authorized to access sensitive company data if under supervision of senior manager,9
717,"LHCPs, patients and representatives may reply to messages.","[{'decision': 'allow', 'subject': 'patient', 'action': 'reply', 'resource': 'message', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'representative', 'action': 'reply', 'resource': 'message', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'reply', 'resource': 'message', 'condition': 'none', 'purpose': 'none'}]",patient is shall to reply message and representative is authorized to reply message and message is able to be reply,6
718,An administrator shall not be permitted to read or write to medical elements of a patient record.,"[{'decision': 'deny', 'subject': 'administrator', 'action': 'write', 'resource': 'medical elements of a patient record', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'none', 'action': 'read', 'resource': 'medical elements of a patient record', 'condition': 'none', 'purpose': 'none'}]",administrator is shall not to write medical elements of a patient record and medical elements of a patient record is unauthorized to be read,6
719,"The input data and a timestamp and the fact that the status was reported by ""patient representative"" and their MID are saved.","[{'decision': 'allow', 'subject': 'none', 'action': 'save', 'resource': 'input data', 'condition': 'either a patient or a personal health officer has not provided a report on satisfaction with a visit to the doctor for a survey', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'save', 'resource': 'timestamp', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'save', 'resource': 'mid', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'save', 'resource': 'statu', 'condition': 'none', 'purpose': 'none'}]",input data is authorized to be save if either a patient or a personal health officer has not provided a report on satisfaction with a visit to the doctor for a survey and timestamp is allowed to be save and mid is shall to be save and statu is able to be save,4
720," ""The security guard is responsible for monitoring CCTV cameras to ensure the safety of the premises.""","[{'decision': 'allow', 'subject': 'security guard', 'action': 'monitoring', 'resource': 'cctv camera', 'condition': 'bank operating hours and customer has no objection', 'purpose': 'safety of the premise'}]","security guard is allowed to monitoring cctv camera for the purpose of safety of the premise, if bank operating hours and customer has no objection",4
721,Note that the administrator is not allowed through the system interface to delete an existing entry or modify the appointment type name in an existing entry.,"[{'decision': 'deny', 'subject': 'administrator', 'action': 'delete', 'resource': 'existing entry', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'administrator', 'action': 'modify', 'resource': 'address', 'condition': 'none', 'purpose': 'none'}]",administrator is prohibited to delete existing entry and administrator is not able to modify address,3
722,An administrator must never be required to read or edit a patient record.,"[{'decision': 'deny', 'subject': 'administrator', 'action': 'edit', 'resource': 'patient record', 'condition': 'none', 'purpose': 'none'}]",administrator is prohibited to edit patient record,10
723,"Managers could read and determine how employees paid bonuses, but not those of other officials or the bureau.","[{'decision': 'deny', 'subject': 'manager', 'action': 'read', 'resource': 'officials pay bonu', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'manager', 'action': 'determine', 'resource': 'bureau pay bonu', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'manager', 'action': 'determine', 'resource': 'officials pay bonu', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'manager', 'action': 'read', 'resource': 'employees pay bonu', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'manager', 'action': 'read', 'resource': 'none', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'manager', 'action': 'determine', 'resource': 'employees pay bonu', 'condition': 'none', 'purpose': 'none'}]",manager is not able to read officials pay bonu and manager is prohibited to determine bureau pay bonu and manager is not able to determine officials pay bonu and manager is authorized to read employees pay bonu and manager is shall not to read and manager is shall to determine employees pay bonu,7
724,The patient views his message inbox.,"[{'decision': 'allow', 'subject': 'none', 'action': 'view', 'resource': 'message inbox', 'condition': 'none', 'purpose': 'none'}]",message inbox is shall to be view,6
725,Accounting staff can access company financial records for monthly reporting purposes during regular business hours only.,"[{'decision': 'allow', 'subject': 'accounting staff', 'action': 'access', 'resource': 'company financial records', 'purpose': 'monthly reporting', 'condition': 'none'}]",accounting staff is authorized to access company financial records for the purpose of monthly reporting,8
726,The School Principal can access and modify student grades only with the intent of correcting a clerical error and upon receipt of a formal request.,"[{'decision': 'allow', 'subject': 'school principal', 'action': 'access', 'resource': 'student grades', 'purpose': 'correcting a clerical error', 'condition': 'none'}, {'decision': 'allow', 'subject': 'school principal', 'action': 'modify', 'resource': 'student grades', 'purpose': 'correcting a clerical error', 'condition': 'receipt of a formal request'}]","school principal is allowed to access student grades for the purpose of correcting a clerical error and school principal is allowed to modify student grades for the purpose of correcting a clerical error, if receipt of a formal request",8
727,Designated Licensed Health Care Professional (DLHCP): A licensed health care professional that is allowed by a particular patient to view all approved medical records.,"[{'decision': 'allow', 'subject': 'designated licensed health care professional', 'action': 'sort', 'resource': 'approved medical record', 'condition': 'none', 'purpose': 'none'}]",designated licensed health care professional is authorized to sort approved medical record,2
728,"The HR manager is granted access to modify employee salary data in the system, only during annual performance review period.","[{'decision': 'allow', 'subject': 'HR manager', 'action': 'respond', 'resource': 'employee salary data', 'purpose': 'none', 'condition': 'during annual performance review period'}]",HR manager is allowed to respond employee salary data if during annual performance review period,2
729,The status of the lab procedure is marked as in transit.,"[{'decision': 'allow', 'subject': 'none', 'action': 'not allowed to access', 'resource': 'status of the lab procedure', 'condition': 'none', 'purpose': 'none'}]",status of the lab procedure is allowed to be not allowed to access,2
730,"Pharmacy system cannot read medical records, although it could read medical records databases.","[{'decision': 'deny', 'subject': 'pharmacy system', 'action': 'read', 'resource': 'medical records database', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'pharmacy system', 'action': 'read', 'resource': 'medical record', 'condition': 'none', 'purpose': 'none'}]",pharmacy system is shall not to read medical records database and pharmacy system is shall not to read medical record,0
731,"Only those personnel from the Academic records department can modify, update or delete students' academic records for the purpose of fixing errors or updating grades, as long as such personnel have received due authorization from their departmental head and it is within working hours.","[{'decision': 'allow', 'subject': 'personnel from academic records department', 'action': 'modify', 'resource': 'student academic record', 'purpose': 'fixing errors or updating grades', 'condition': 'received authorization from departmental head and it is within working hours'}, {'decision': 'allow', 'subject': 'personnel from academic records department', 'action': 'update', 'resource': 'student academic record', 'purpose': 'fixing errors or updating grades', 'condition': 'received authorization from departmental head and it is within working hours'}, {'decision': 'allow', 'subject': 'personnel from academic records department', 'action': 'enable', 'resource': 'student academic record', 'purpose': 'fixing errors or updating grades', 'condition': 'received authorization from departmental head and it is within working hours'}]","personnel from academic records department is authorized to modify student academic record for the purpose of fixing errors or updating grades, if received authorization from departmental head and it is within working hours and personnel from academic records department is authorized to update student academic record for the purpose of fixing errors or updating grades, if received authorization from departmental head and it is within working hours and personnel from academic records department is able to enable student academic record for the purpose of fixing errors or updating grades, if received authorization from departmental head and it is within working hours",2
732,"The senior manager can approve the financial transactions above 10,000 USD only for the purpose of business development, and only between 9.00 am - 6.00 pm on business days.","[{'decision': 'allow', 'subject': 'senior manager', 'action': 'approve', 'resource': 'financial transactions', 'purpose': 'business development', 'condition': 'none'}]",senior manager is allowed to approve financial transactions for the purpose of business development,8
733,All members of role Faculty Family can receive External-Grades.,"[{'decision': 'allow', 'subject': 'members of role faculty family', 'action': 'receive', 'resource': 'proceeding', 'condition': 'none', 'purpose': 'none'}]",members of role faculty family is shall to receive proceeding,3
734,The message displays the risk factors that the patients exhibit.,"[{'decision': 'allow', 'subject': 'message', 'action': 'display', 'resource': 'list of his upcoming appointment', 'condition': 'none', 'purpose': 'none'}]",message is able to display list of his upcoming appointment,3
735,"The senior manager can approve the financial transactions above 10,000 USD only for the purpose of business development, and only between 9.00 am - 6.00 pm on business days.","[{'decision': 'allow', 'subject': 'senior manager', 'action': 'approve', 'resource': 'financial transactions', 'purpose': 'business development', 'condition': 'none'}]",senior manager is allowed to approve financial transactions for the purpose of business development,8
736,The patient chooses the immunization for which to report the adverse event.,"[{'decision': 'allow', 'subject': 'patient', 'action': 'choose', 'resource': 'immunization', 'condition': 'none', 'purpose': 'report the adverse event'}]",patient is allowed to choose immunization for the purpose of report the adverse event,11
737,"The patient may optionally enter a zip code (match on first three numbers of zip code), in addition to the name possibly and possibly specialty.","[{'decision': 'allow', 'subject': 'patient', 'action': 'enter', 'resource': 'specialty', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'patient', 'action': 'enter', 'resource': 'name', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'patient', 'action': 'enter', 'resource': 'zip code', 'condition': 'none', 'purpose': 'none'}]",patient is authorized to enter specialty and patient is shall to enter name and patient is shall to enter zip code,11
738,The HCP selects a patient by typing in the MID of the patient .,"[{'decision': 'allow', 'subject': 'hcp', 'action': 'select', 'resource': 'patient', 'condition': 'patient or personal progress officer has completed only one survey on satisfaction with the doctors visit as an office assignment', 'purpose': 'none'}]",hcp is shall to select patient if patient or personal progress officer has completed only one survey on satisfaction with the doctors visit as an office assignment,4
739,The Patient requests the closest hospitals so that only nearby hospitals are presented.,"[{'decision': 'allow', 'subject': 'none', 'action': 'request', 'resource': 'closest hospital', 'condition': 'none', 'purpose': 'none'}]",closest hospital is authorized to be request,6
740,"Pharmacists are allowed to update a patient's medication record for the purpose of tracking medication history, only if the original prescribing doctor has granted them permission.","[{'decision': 'allow', 'subject': 'pharmacist', 'action': 'update', 'resource': 'patient medication record', 'purpose': 'tracking medication history', 'condition': 'none'}]",pharmacist is authorized to update patient medication record for the purpose of tracking medication history,8
741,The status of the lab procedure is marked as in transit.,"[{'decision': 'allow', 'subject': 'none', 'action': 'mark', 'resource': 'status of the lab procedure', 'condition': 'customer has explicitly given permission', 'purpose': 'none'}]",status of the lab procedure is authorized to be mark if customer has explicitly given permission,4
742,A patient or personal representative may view medical records including family history.,"[{'decision': 'allow', 'subject': 'personal representative', 'action': 'view', 'resource': 'family history', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'patient', 'action': 'view', 'resource': 'medical record', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'patient', 'action': 'view', 'resource': 'family history', 'condition': 'none', 'purpose': 'none'}]",personal representative is allowed to view family history and patient is allowed to view medical record and patient is allowed to view family history,10
743,A patient or personal representative may view medical records including family history.,"[{'decision': 'allow', 'subject': 'personal representative', 'action': 'view', 'resource': 'medical record', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'personal representative', 'action': 'view', 'resource': 'family history', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'patient', 'action': 'view', 'resource': 'medical record', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'patient', 'action': 'view', 'resource': 'family history', 'condition': 'none', 'purpose': 'none'}]",personal representative is authorized to view medical record and personal representative is allowed to view family history and patient is shall to view medical record and patient is shall to view family history,11
744,LHCPs can edit or delete future appointments .,"[{'decision': 'allow', 'subject': 'lhcp', 'action': 'delete', 'resource': 'none', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'edit', 'resource': 'future appointment', 'condition': 'none', 'purpose': 'none'}]",lhcp is allowed to delete and lhcp is allowed to edit future appointment,7
745,"As soon as the reviewer has submitted his or her review, the review will be the default to be displayed in this frame when the reviewer clicks on the paper number in the top frame.","[{'decision': 'allow', 'subject': 'none', 'action': 'set', 'resource': 'review', 'condition': 'reviewer clicks on the paper number in the top frame', 'purpose': 'none'}]",review is shall to be set if reviewer clicks on the paper number in the top frame,2
746,"Pharmacy system should not use patient medication, if it knows that it would read patient medication information.","[{'decision': 'deny', 'subject': 'pharmacy system', 'action': 'use', 'resource': 'patient medication information', 'condition': 'it knows that it would read patient medication information', 'purpose': 'none'}]",pharmacy system is shall not to use patient medication information if it knows that it would read patient medication information,11
747,"Agricultural Field Workers are authorized to access, update and download field data and crop yield information for tracking progress and making reports, provided the data does not contain any confidential proprietary research information.","[{'decision': 'allow', 'subject': 'agricultural field worker', 'action': 'access', 'resource': 'none', 'purpose': 'tracking progress and making reports', 'condition': 'data does not contain any confidential proprietary research information'}, {'decision': 'allow', 'subject': 'agricultural field worker', 'action': 'update', 'resource': 'field data and crop yield information', 'purpose': 'tracking progress and making reports', 'condition': 'data does not contain any confidential proprietary research information'}, {'decision': 'allow', 'subject': 'agricultural field worker', 'action': 'download', 'resource': 'field data and crop yield information', 'purpose': 'tracking progress and making reports', 'condition': 'data does not contain any confidential proprietary research information'}]","agricultural field worker is able to access for the purpose of tracking progress and making reports, if data does not contain any confidential proprietary research information and agricultural field worker is authorized to update field data and crop yield information for the purpose of tracking progress and making reports, if data does not contain any confidential proprietary research information and agricultural field worker is allowed to download field data and crop yield information for the purpose of tracking progress and making reports, if data does not contain any confidential proprietary research information",7
748,Confidential documents can only be accessed by authorized personnel with a valid security clearance.,"[{'decision': 'allow', 'subject': 'authorized personnel', 'action': 'access', 'resource': 'confidential document', 'condition': 'valid security clearance', 'purpose': 'view his or her message inbox'}]","authorized personnel is shall to access confidential document for the purpose of view his or her message inbox, if valid security clearance",5
749,3.2.10 UC10 Enter or edit personal health records Use Case.,"[{'decision': 'allow', 'subject': 'uc10', 'action': 'enter', 'resource': 'personal health record', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'uc10', 'action': 'edit', 'resource': 'personal health record', 'condition': 'none', 'purpose': 'none'}]",uc10 is allowed to enter personal health record and uc10 is authorized to edit personal health record,11
750,"HR managers are permitted to access, modify and delete personal employee information in the HR system for the purpose of maintaining accurate employee records, provided the employee in question has given their consent.","[{'decision': 'allow', 'subject': 'HR manager', 'action': 'access', 'resource': 'personal employee information', 'purpose': 'maintaining accurate employee records', 'condition': 'employee has given consent'}, {'decision': 'allow', 'subject': 'agricultural technician', 'action': 'modify', 'resource': 'personal employee information', 'purpose': 'maintaining accurate employee records', 'condition': 'employee has given consent'}, {'decision': 'allow', 'subject': 'HR manager', 'action': 'delete', 'resource': 'personal employee information', 'purpose': 'maintaining accurate employee records', 'condition': 'employee has given consent'}]","HR manager is allowed to access personal employee information for the purpose of maintaining accurate employee records, if employee has given consent and agricultural technician is allowed to modify personal employee information for the purpose of maintaining accurate employee records, if employee has given consent and HR manager is authorized to delete personal employee information for the purpose of maintaining accurate employee records, if employee has given consent",1
751,"The accountant can access financial records for audit purposes, but only when they are in the office premises during regular business hours.","[{'decision': 'deny', 'subject': 'accountant', 'action': 'access', 'resource': 'financial records', 'purpose': 'audit', 'condition': 'they are in the office premises during regular business hours'}]","accountant is not able to access financial records for the purpose of audit, if they are in the office premises during regular business hours",0
752,"Customer Service Reps can modify credit card numbers for order processing, if the customer is notified by email of the change.","[{'decision': 'allow', 'subject': 'customer service rep', 'action': 'modify', 'resource': 'credit card number', 'condition': 'none', 'purpose': 'order processing'}]",customer service rep is able to modify credit card number for the purpose of order processing,8
753,"The HR manager is granted access to modify employee salary data in the system, only during annual performance review period.","[{'decision': 'deny', 'subject': 'HR manager', 'action': 'modify', 'resource': 'employee salary data', 'purpose': 'none', 'condition': 'during annual performance review period'}]",HR manager is prohibited to modify employee salary data if during annual performance review period,0
754,"The accountant can access financial records for audit purposes, but only when they are in the office premises during regular business hours.","[{'decision': 'allow', 'subject': 'accountant', 'action': 'access', 'resource': 'financial records', 'purpose': 'audit', 'condition': 'none'}]",accountant is shall to access financial records for the purpose of audit,8
755,"( If a surgeon or personal representative has not taken an office day satisfaction survey from an office visit date ) the patient may not take a survey for an office visit ( if the measurement has never been taken, the patient or individual health representative will not have the ability to take the survey or view no previously requested survey ).","[{'decision': 'deny', 'subject': 'patient', 'action': 'take', 'resource': 'survey', 'condition': 'surgeon or personal representative has not taken an office day satisfaction survey from an office visit date', 'purpose': 'office visit'}, {'decision': 'deny', 'subject': 'individual health representative', 'action': 'view', 'resource': 'previously requested survey', 'condition': 'measurement has never been taken', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'patient', 'action': 'view', 'resource': 'previously requested survey', 'condition': 'measurement has never been taken', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'patient', 'action': 'take', 'resource': 'survey', 'condition': 'measurement has never been taken', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'individual health representative', 'action': 'take', 'resource': 'survey', 'condition': 'measurement has never been taken', 'purpose': 'view his message inbox'}]","patient is not able to take survey for the purpose of office visit, if surgeon or personal representative has not taken an office day satisfaction survey from an office visit date and individual health representative is unauthorized to view previously requested survey if measurement has never been taken and patient is not able to view previously requested survey if measurement has never been taken and patient is prohibited to take survey if measurement has never been taken and individual health representative is shall not to take survey for the purpose of view his message inbox, if measurement has never been taken",5
756,"For each semester, there is a period of time that students can change their schedule.","[{'decision': 'allow', 'subject': 'student', 'action': 'change', 'resource': 'schedule', 'condition': 'system is unable to communicate with the billing system', 'purpose': 'none'}]",student is authorized to change schedule if system is unable to communicate with the billing system,4
757,The health administrator shall not constitute responsible of create or write any medical elements of a patient record.,"[{'decision': 'deny', 'subject': 'health administrator', 'action': 'write', 'resource': 'medical elements of a patient record', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'health administrator', 'action': 'create', 'resource': 'medical elements of a patient record', 'condition': 'none', 'purpose': 'none'}]",health administrator is not able to write medical elements of a patient record and health administrator is not able to create medical elements of a patient record,11
