,input,acp,output,origin
148,"To ease our minds , she had already taken Chien - chien to see her uncle , an ophthalmologist .",0,{decision: allow; subject: she; action: take; resource: chien - chien; condition: none; purpose: see her uncle ; an ophthalmologist | decision: allow; subject: she; action: take; resource: chien - chien; condition: none; purpose: ease our minds},na
149,"The law must prevent students from changing instructional schedules located within their schedule, and professors for modifying assigned course offerings from full professors.",1,{decision: deny; subject: students; action: change; resource: instructional schedules; purpose: none; condition: none | decision: deny; subject: professors; action: modify; resource: assigned course offerings; purpose: none; condition: none},collected_train
150,"In order to accommodate professionals with day jobs , many universities have scheduled their business management courses during evening hours .",0,{decision: allow; subject: none; action: schedule; resource: business management courses; condition: none; purpose: in order to accommodate professionals with day jobs},na
151,The patient can select a diagnosis and will be presented with the LHCPs in the patient's living area (based upon the first three numbers of their zip code) who have handled this diagnosis in the last three years.,1,{decision: allow; subject: patient; action: select; resource: diagnosis; purpose: none; condition: none},acre
152,Only the most recent 20 activities are listed in the user page after login.,0,{decision: allow; subject: none; action: list; resource: most recent 20 activities; condition: none; purpose: none},na
154,The administrator should be able to read and modify the customer database for the purpose of data management.,1,{decision: allow; subject: administrator; action: read; resource: customer database; condition: none; purpose: data management | decision: allow; subject: administrator; action: modify; resource: customer database; condition: none; purpose: data management},collected_train
155,System presents a listing of all his patients.,1,{decision: allow; subject: system; action: present; resource: listing of all his patients; purpose: none; condition: none},t2p
156,"In both cases, system presents the name of the patient.",1,{decision: allow; subject: system; action: present; resource: name; purpose: none; condition: none},t2p
157,In short he is a man who tells lies for a living .,0,{decision: allow; subject: he; action: tell; resource: lies; condition: none; purpose: for a living},na
158,A non-editor resigns unless he has already completed his review.,1,{decision: allow; subject: non-editor; action: resign; resource: none; purpose: none; condition: he has already completed his review},collected_train
159,"Well , he says he has it because he uses it for batting practice to put on a show for the fans .",0,{decision: allow; subject: he; action: use; resource: well; condition: none; purpose: to put on a show for the fans},na
160,The patient is also provided with the option to send a message to the receiving HCP to request that an appointment be scheduled.,1,{decision: allow; subject: patient; action: send; resource: message; purpose: request that an appointment be scheduled; condition: none},acre
161,In the Middle East Palestinian and Israeli delegations travel to Washington today for separate talks with US officials on reviving the stalled peace process .,0,{decision: allow; subject: israeli delegations; action: travel; resource: washington; condition: none; purpose: separate talks with us officials on reviving the stalled peace process | decision: allow; subject: palestinian delegations; action: travel; resource: washington; condition: none; purpose: separate talks with us officials on reviving the stalled peace process},na
162,Note that the administrator in his system is not allowed to access his old entry in order to put each hospital ID number into an existing entry.,1,{decision: deny; subject: administrator; action: access; resource: old entry in; purpose: put each hospital id number into an existing entry; condition: none},collected_train
163,CyberChair provides web pages for the reviewers to indicate their preference for papers they would like to review.,1,{decision: allow; subject: cyberchair; action: provide; resource: webpage; purpose: indicate reviewer’s preference for papers they would like to review; condition: none},cyber
164,System presents a listing of all immunizations for which he has been administered in the last 12 months.,1,{decision: allow; subject: system; action: present; resource: listing of all immunizations; purpose: none; condition: none},t2p
166,"An LHCP, patient or representative can modify his ""messagedisplayingfilter"" by modifying the following filtering criteria.",1,"{decision: allow; subject: lhcp; action: modify; resource: ""messagedisplayingfilter”; purpose: none; condition: none | decision: allow; subject: patient; action: modify; resource: ""messagedisplayingfilter”; purpose: none; condition: none | decision: allow; subject: representative; action: modify; resource: ""messagedisplayingfilter”; purpose: none; condition: none}",t2p
167,Professors cannot continue their courses after registration for our current semester is closed for the study break.,1,{decision: deny; subject: professors; action: continue; resource: courses; purpose: study break; condition: registration for our current semester is closed},collected_train
168,An LHCP or Public Health Agent (or PHA) is a registered user of the iTrust Medical Records system (UC2).,0,{decision: allow; subject: public health agent; action: register; resource: public health agent; condition: none; purpose: none | decision: allow; subject: lhcp; action: register; resource: lhcp; condition: none; purpose: none},na
169,"Although they still engage in "" hit - and - run "" high - volume trading for quick gains , at least most foreign investors ignore gossip and do n't touch the more speculative stocks .",0,"{decision: allow; subject: none; action: ignore; resource: gossip; condition: although they still engage in "" hit - and - run "" high - volume trading for quick gains at least; purpose: none}",na
170,What remains to be seen is how well we can adapt and update this ancient tradition to fit the changing needs of modern society .,0,{decision: allow; subject: none; action: adapt; resource: ancient tradition; condition: none; purpose: to fit the changing needs of modern society},na
171,This policy is claimed to prevent fraud and errors.,0,{decision: allow; subject: none; action: claim; resource: policy; condition: none; purpose: none},na
172,The HCP is not allowed to process the patient's health files by password.,1,"{decision: deny; subject: hcp; action: process; resource: ""patients health files""; purpose: none; condition: none}",collected_train
173,"Moreover, collecting, maintaining and comparing reviews by the program committee chair may also become quite tedious, if not troublesome, due to the large amount of material, even when submitted by email.",0,{decision: allow; subject: none; action: collect; resource: materials; condition: none; purpose: none | decision: allow; subject: none; action: maintain; resource: materials; condition: none; purpose: none | decision: allow; subject: none; action: compare; resource: reviews; condition: none; purpose: none},na
174,""" From review , to written test , to oral exam , in order to ensure fairness , no professor is involved in more than one portion of the process , "" says Huang Chung - hsing , director of the EMBA program at NTU .",0,{decision: allow; subject: professor; action: involve; resource: more than one portion of the process; condition: none; purpose: ensure fairness},na
175,HCP must enter a patient's MID and then enter or edit demographic information other than the patient's security question or password in accordance with data format 6.1.,1,"{decision: allow; subject: hcp; action: enter; resource: ""patients mid""; purpose: none; condition: none | decision: allow; subject: patient; action: enter; resource: demographic information; purpose: none; condition: none | decision: allow; subject: patient; action: edit; resource: demographic information; purpose: none; condition: none | decision: deny; subject: patient; action: enter; resource: first question; purpose: none; condition: none | decision: deny; subject: patient; action: edit; resource: first question; purpose: none; condition: none | decision: deny; subject: patient; action: enter; resource: password; purpose: none; condition: none | decision: deny; subject: patient; action: edit; resource: password; purpose: none; condition: none}",collected_train
176,"The system must prevent students from continuing a program that is inferior to their degree, but also from changing certain course offerings or other professors.",1,{decision: deny; subject: students; action: continue; resource: program; purpose: none; condition: none | decision: deny; subject: students; action: change; resource: course offerings; purpose: none; condition: none | decision: deny; subject: students; action: change; resource: other professors; purpose: none; condition: none},collected_train
177,"Upon entering a comment, the lab procedure status is updated to completed.",0,{decision: allow; subject: none; action: update; resource: lab procedure status; purpose: none; condition: none},na
178,The expired prescription report list is titled with the patient name.,0,{decision: allow; subject: none; action: title; resource: expired prescription report; purpose: none; condition: none},na
179,"By default, the messages in the message inbox should be ordered by timestamp, the most recent first.",1,{decision: allow; subject: none; action: order; resource: message; purpose: none; condition: none},t2p
180,Electronic sessions must terminate after ten minutes of inactivity.,0,{decision: allow; subject: none; action: terminate; resource: electronic sessions; condition: none; purpose: none},na
181,Only the business office manager and the dean can approve a project.,1,{decision: allow; subject: business office manager; action: approve; resource: project; purpose: none; condition: none | decision: allow; subject: dean; action: approve; resource: project; purpose: none; condition: none},collected
182,The HCP is notified if any of the fields contain characters that are not in the above list.,1,{decision: allow; subject: none; action: notify; resource: hcp; condition: if any of the fields contain characters that are not in the above list; purpose: none},acre
183,"The ""catch up schedule"" is relevant when the patient did not begin the immunizations according to the recommended schedule.",0,{decision: allow; subject: none; action: none; resource: none; condition: none; purpose: none},na
184,Their main form of access is to view the care plan for each resident and to add progress note entries based on their observations.,1,{decision: allow; subject: they; action: view; resource: care plan for each resident; purpose: none; condition: none | decision: allow; subject: they; action: add; resource: progress note entry; purpose: none; condition: none},collected
185,"The LHCP can view a prescription list for that patient, sorted by start date.",1,{decision: allow; subject: lhcp; action: view; resource: prescription list; purpose: none; condition: none},t2p
186,"To enter the review process, authors must send their paper to the Program Committee Chair (PCC).",1,{decision: allow; subject: author; action: send; resource: paper; purpose: enter the review process; condition: none},cyber
187,Major League Baseball sent its head of security to Chicago to review the second incident of an on - field fan attack in the last seven months .,0,{decision: allow; subject: major league baseball; action: send; resource: head of security; condition: none; purpose: to review the second incident of an on - field fan attack in the last seven months},na
188,The user can select a prescription from the calendar to read the prescription's details .,1,{decision: allow; subject: user; action: select; resource: prescription; purpose: read the prescriptions details; condition: none},acre
189,"Similar to an administrator, a software tester is added by directly entering the software tester into the database by an administrator that has access to the database.",1,{decision: allow; subject: administrator; action: add; resource: software tester; purpose: none; condition: administrator has access to the database},acre
190,Employees should complete the mandatory cybersecurity training to enhance their awareness.,1,{decision: allow; subject: employees; action: complete; resource: mandatory cybersecurity training; condition: none; purpose: awareness enhancement},collected_train
191,"An LHCP or patient can click the ""View Appointment Calendar"" link to view his appointments in the current month.",1,{decision: allow; subject: lhcp; action: click; resource: view appointment calendar link; purpose: view his appointments in the current month; condition: none | decision: allow; subject: patient; action: click; resource: view appointment calendar link; purpose: view his appointments in the current month; condition: none},t2p
192,"Note: pages retrieved on January 10th, 2013.",0,{decision: allow; subject: none; action: retrieve; resource: pages; condition: none; purpose: none},na
193,An event requiring an email alert has occurred.,0,{decision: allow; subject: event requiring an email alert; action: occur; resource: email alert; condition: none; purpose: none},na
194,The data for personnel can be edited according to Data Format.,1,{decision: allow; subject: none; action: edit; resource: data; purpose: none; condition: none},t2p
195,A UAP can select to report height or weight or pedometer measurements.,1,{decision: allow; subject: uap; action: report; resource: height; purpose: none; condition: none | decision: allow; subject: uap; action: report; resource: weight; purpose: none; condition: none | decision: allow; subject: uap; action: report; resource: pedometer measurements; purpose: none; condition: none},acre
196,and he also attempted to exaggerate intelligence to fit his views /.,0,{decision: allow; subject: he; action: exaggerate; resource: intelligence; condition: none; purpose: to fit his views},na
197,"The input data, a timestamp, and the fact that the status was reported by ""patient representative"" and his or her MID are saved.",1,{decision: allow; subject: none; action: save; resource: input data; purpose: none; condition: none | decision: allow; subject: none; action: save; resource: timestamp; purpose: none; condition: none | decision: allow; subject: none; action: save; resource: fact; purpose: none; condition: none | decision: allow; subject: none; action: save; resource: mid; purpose: none; condition: none},acre
198,He or she can report the blood pressure (systolic and diastolic)  possibly and possibly glucose levels  for the patient.,1,{decision: allow; subject: he; action: report; resource: blood pressure; purpose: none; condition: none | decision: allow; subject: he; action: report; resource: glucose level; purpose: none; condition: none | decision: allow; subject: she; action: report; resource: blood pressure; purpose: none; condition: none | decision: allow; subject: she; action: report; resource: glucose level; purpose: none; condition: none},acre
199,The patient's access of the instructions are logged (UC5).,0,"{decision: allow; subject: none; action: log; resource: ""patients access of the instructions""; purpose: none; condition: none}",na
200,The administrator will store information of a LOINC code (Logical Observation Identifiers Names and Codes (LOINC) is a database and universal standard for identifying medical laboratory observations.,1,{decision: allow; subject: administrator; action: store; resource: loinc code; purpose: none; condition: none},acre
201,Mr. Bush 's lawyers are rushing to the Supreme Court of the United States for assistance .,0,{decision: allow; subject: lawyers; action: rush; resource: supreme court of the united states; condition: none; purpose: for assistance},na
202,The administrator records a drug interaction between two prescription drugs.,1,{decision: allow; subject: administrator; action: record; resource: drug interaction; purpose: none; condition: none},t2p
203,A patient reports an event related to a prescription drug or immunization reaction.,1,{decision: allow; subject: patient; action: report; resource: event; purpose: none; condition: none},t2p
204,The software tester authenticates himself or herself in the iTrust Medical Records system (UC2).,0,{decision: allow; subject: software tester; action: authenticate; resource: himself or herself in the itrust medical records system; condition: none; purpose: none},na
205,An LHCP views the number of submitted weight or pedometer data monitoring reports of his or her patients for the current date.,1,{decision: allow; subject: lhcp; action: view; resource: weight monitoring report; purpose: none; condition: none | decision: allow; subject: lhcp; action: view; resource: pedometer data monitoring report; purpose: none; condition: none},acre
206,"(If a patient or personal resident has not yet completed his or her satisfaction survey for the visit to the office).This patient can complete the survey for each visit to the office (if the survey has already been completed, the person or personal health officer will not be able to see the survey).",1,{decision: allow; subject: patient; action: complete; resource: survey; purpose: visit to the office; condition: patient or personal resident has not yet completed his or her satisfaction survey for the visit to the office | decision: deny; subject: patient; action: see; resource: survey; purpose: none; condition: survey has already been completed | decision: deny; subject: personal health officer; action: see; resource: survey; purpose: none; condition: survey has already been completed},collected_train
207,"For each selected course offering on the schedule not already marked as “enrolled in”, the system verifies that the Student has the necessary prerequisites, that the course offering is open, and that there are no schedule conflicts.",1,{decision: allow; subject: system; action: verify; resource: prerequisite; purpose: none; condition: none | decision: allow; subject: system; action: verify; resource: course offering; purpose: none; condition: none | decision: allow; subject: system; action: verify; resource: schedule conflict; purpose: none; condition: none},ibm
208,Upon notice of allergies possibly and possibly interactions the HCP must either choose to proceed with the prescription  or cancel the prescription and remain on the office visit page.,1,{decision: allow; subject: hcp; action: proceed; resource: prescription; purpose: none; condition: upon notice of allergies possibly and possibly interactions | decision: allow; subject: hcp; action: cancel; resource: prescription; purpose: none; condition: upon notice of allergies possibly and possibly interactions | decision: allow; subject: hcp; action: remain; resource: office visit page; purpose: none; condition: upon notice of allergies possibly and possibly interactions},acre
209,"While she was able to enter the medical records of the past and a resident is admitted, Carol cannot add other entries to each system.",1,{decision: allow; subject: carol; action: enter; resource: medical records of the past; purpose: none; condition: none | decision: deny; subject: carol; action: add; resource: other entries; purpose: none; condition: none},collected_train
210,"This system must prohibit researchers from changing their timetables earlier than their own, and prevent professors from writing new courses for other professors.",1,{decision: deny; subject: professors; action: write; resource: courses; purpose: none; condition: none | decision: deny; subject: researchers; action: change; resource: timetables; purpose: none; condition: none},collected_train
211,"The crew , especially saw nothing to fear from a small support boat , sent out by harbor authorities to assist in the mooring process , but that small boat was apparently loaded with explosives and manned by suicide bombers .",0,{decision: allow; subject: none; action: send out; resource: small boat; condition: none; purpose: to assist in the mooring process},na
212,"A user (a patient, patient representative, or LHCP) can sort messages in his or her message inbox by either the sender's last name or timestamp (but not both) in either ascending or descending order (where timestamps in descending order would have the most recent first).",1,{decision: allow; subject: lhcp; action: sort; resource: message; purpose: none; condition: none | decision: allow; subject: patient; action: sort; resource: message; purpose: none; condition: none | decision: allow; subject: patient representative; action: sort; resource: message; purpose: none; condition: none},acre
213,Especially that part of the browser window must be left as is while the reviewer is filling in the review form.,0,{decision: allow; subject: reviewer; action: click; resource: button labeled ’continue’; purpose: none; condition: reviewer fill in a review form},na
214,"The HCP may sort the list of referrals by patient name, receiving HCP name, time generated, possibly and possibly priority.",1,{decision: allow; subject: hcp; action: sort; resource: list of referrals; purpose: none; condition: none},acre
215,"If a course offering becomes full while a student is building a schedule including that offering, the student must be notified.",1,{decision: allow; subject: none; action: notify; resource: student; purpose: none; condition: course offering becomes full while a student is building a schedule including that offering},ibm
216,The HCP can choose to graph the height or weight of the patient.,1,{decision: allow; subject: hcp; action: graph; resource: height; purpose: none; condition: none | decision: allow; subject: hcp; action: graph; resource: weight; purpose: none; condition: none},acre
217,Add a Student,0,{decision: allow; subject: none; action: add; resource: student; condition: none; purpose: none},na
218,"If not, the system state remains unchanged.",0,{decision: allow; subject: system; action: remain; resource: system state; condition: if not; purpose: none},na
219,"Additionally, the HCP can document none, one, or more medications (NDC, see Data Format 6.6) prescribed ; none, one, or more lab procedures that are ordered (LOINC code, see Data Format 6.11)(UC26); none, one, or more diagnoses (via the ICD-9CM code); none, one, or more medical procedures (CPT code) performed; and none, one, or more immunizations given (CPT Code, see UC15, S1) chosen from appropriate pull-down lists.",1,{decision: allow; subject: hcp; action: document; resource: medication; purpose: none; condition: none | decision: allow; subject: hcp; action: document; resource: lab procedure; purpose: none; condition: none | decision: allow; subject: hcp; action: document; resource: diagnosis; purpose: none; condition: none | decision: allow; subject: hcp; action: document; resource: medical procedure; purpose: none; condition: none | decision: allow; subject: hcp; action: document; resource: immunization; purpose: none; condition: none},acre
220,An HCP chooses to refer a patient to another receiving HCP through the referral feature on a patient's office visit page (UC11).,1,{decision: allow; subject: hcp; action: refer; resource: patient; purpose: none; condition: none},acre
221,"(Unless a patient or personal representative has not yet completed an approved survey to the satisfaction of their staff for an office visit), the patient may not conduct the survey for an actual visit.",1,{decision: deny; subject: patient; action: conduct; resource: survey; purpose: actual visit; condition: patient or personal representative has not yet completed an approved survey to the satisfaction of their staff for an office visit},collected_train
223,"A user (a patient or personal health representative) views basic information about his or her designated LHCPs, including the name, phone number, and contact email information .",1,{decision: allow; subject: patient; action: view; resource: basic information; purpose: none; condition: none | decision: allow; subject: patient; action: view; resource: name of lhcp; purpose: none; condition: none | decision: allow; subject: patient; action: view; resource: phone number of lhcp; purpose: none; condition: none | decision: allow; subject: patient; action: view; resource: contact email; purpose: none; condition: none | decision: allow; subject: personal health representative; action: view; resource: basic information; purpose: none; condition: none | decision: allow; subject: personal health representative; action: view; resource: name of lhcp; purpose: none; condition: none | decision: allow; subject: personal health representative; action: view; resource: phone number of lhcp; purpose: none; condition: none | decision: allow; subject: personal health representative; action: view; resource: contact email; purpose: none; condition: none},acre
224,The TA is prohibited to read the assigned internal or non-external grades (tc must take full responsibility for solving its problems) for the pupose of changing.,1,{decision: deny; subject: ta; action: read; resource: assigned internal grades; purpose: change; condition: none | decision: deny; subject: ta; action: read; resource: non-external grades; purpose: change; condition: none},collected_train
225,"The patient selects the type of appointment from a pull-down menu of the existing appointment types, enter the appointment date and start time (only a date or time equal or after the current date or time is allowed).",1,{decision: allow; subject: patient; action: select; resource: type of appointment; purpose: none; condition: none | decision: allow; subject: patient; action: enter; resource: appointment date; purpose: none; condition: none | decision: allow; subject: patient; action: enter; resource: start time; purpose: none; condition: none},acre
226,"During the submission phase, an author may submit a paper.",1,{decision: allow; subject: author; action: submit; resource: paper; purpose: none; condition: during the submission phase},collected
227,"The user selects a prescription from the calendar to read its details by clicking the ""Read Details"" link beside or below the medication displayed for the prescription.",1,{decision: allow; subject: user; action: select; resource: prescription; purpose: read its details; condition: none},t2p
228,"Jean-Guy Schneider, Markus Lumpe and Oscar Nierstrasz describe CyberChair in Agent Coordination via Scripting Languages, Chapter 6 of the book Coordination of Internet Agents: Models, Technologies and Applications, Andrea Omic, Fanco Zambonelli, Matthias Klusch and Robert Tolksdorf (Eds.)",0,{decision: allow; subject: none; action: describe; resource: cyberchair; condition: none; purpose: none},na
229,And we hope it develops to become an action we can follow .,0,{decision: allow; subject: we; action: develop; resource: action; condition: none; purpose: to become an action we can follow},na
230,"It 's Friday , so if that question does n't tickle your fancy , knock yourselves out .",0,"{decision: allow; subject: it; action: knock; resource: own; condition: ""if that question does nt tickle your fancy""; purpose: none}",na
231,"System presents a listing of all their own diagnoses, sorted by diagnosis date (more recent first).",1,{decision: allow; subject: system; action: present; resource: diagnoses; purpose: none; condition: none},t2p
232,Surrounded by bodyguards Slobodan Milosevic arrives at a special meeting of his Socialist Party to discuss election tactics .,0,{decision: allow; subject: surrounded by bodyguards; action: arrive; resource: special meeting of his socialist party; condition: none; purpose: to discuss election tactics},na
233,"Representatives from Prime Minister Ehud Barak 's Labor Party and the main right - wing opposition Likud Block , met to set a date for the new elections .",0,"{decision: allow; subject: ""representatives from prime minister ehud baraks labor party""; action: meet; resource: none; condition: none; purpose: set a date for the new elections | decision: allow; subject: main right - wing opposition likud block; action: meet; resource: none; condition: none; purpose: set a date for the new elections}",na
234,"When answer to the security question is typed in, the answer should not appear on the screen (similar to how a password normally appears) and the answer should be confirmed (by the patient or personal health representative) before it is saved.",0,{decision: allow; subject: patient; action: confirm; resource: answer; purpose: none; condition: answer to the security question is typed in | decision: allow; subject: personal health representative; action: confirm; resource: answer; purpose: none; condition: answer to the security question is typed in},na
235,"Loading medicines to medicine dispenser, creating medicine order and picking medicines from the medicine dispenser are operations forming a critical task.",0,{decision: allow; subject: none; action: create; resource: medicine order; condition: none; purpose: none | decision: allow; subject: none; action: pick; resource: medicines; condition: none; purpose: none | decision: allow; subject: none; action: form; resource: medicine dispenser; condition: none; purpose: none},na
236,"He or she can report his or her daily height (in the format of digits XXXX with the units of ""feet""), daily weight (in the format of digits X with units of ""lbs""), possibly and possibly pedometer readings (in the format of up to 10 digits of integer with units of ""footsteps"") .",1,{decision: allow; subject: he; action: report; resource: height; purpose: none; condition: none | decision: allow; subject: he; action: report; resource: weight; purpose: none; condition: none | decision: allow; subject: he; action: report; resource: pedometer reading; purpose: none; condition: none | decision: allow; subject: she; action: report; resource: height; purpose: none; condition: none | decision: allow; subject: she; action: report; resource: weight; purpose: none; condition: none | decision: allow; subject: she; action: report; resource: pedometer reading; purpose: none; condition: none},acre
237,A patient is added to the list by the LHCP or UAP through typing in the patient's MID or name.,1,{decision: allow; subject: lhcp; action: add; resource: patient; purpose: none; condition: none | decision: allow; subject: uap; action: add; resource: patient; purpose: none; condition: none},t2p
238,An HCP can add commentary to a pending lab procedure .,1,{decision: allow; subject: hcp; action: add; resource: commentary; purpose: none; condition: none},acre
239,"If either a patient or a personal health officer has not provided a report on satisfaction with a visit to the doctor for a survey, the patient may not use the survey for a visit to the doctor.",1,{decision: deny; subject: patient; action: use; resource: survey; purpose: visit to the doctor; condition: either a patient or a personal health officer has not provided a report on satisfaction with a visit to the doctor for a survey},collected_train
240,"The patient types a last name or partial last name, possibly and possibly providing the specialty.",1,{decision: allow; subject: patient; action: type; resource: last name; purpose: none; condition: none | decision: allow; subject: patient; action: type; resource: partial last name; purpose: none; condition: none | decision: allow; subject: patient; action: type; resource: specialty; purpose: none; condition: none},acre
242,"America will not stop standing guard for peace , or freedom , or stability in the Middle East and around the world .",0,{decision: allow; subject: america; action: stand guard; resource: none; condition: none; purpose: peace or freedom or stability in the middle east and around the world},na
243,The HCP selects reasons out from the nine reasons listed here for the overriding.,1,{decision: allow; subject: hcp; action: select; resource: reason; purpose: none; condition: none},t2p
244,And John if I have made a mistake here I will never forget it /.,0,{decision: allow; subject: i; action: forget; resource: mistake; condition: i have made a mistake here; purpose: none},na
245,Supervisors can collect personal information if required by law.,1,{decision: allow; subject: supervisor; action: collect; resource: personal information; purpose: none; condition: none},collected
246,The Registrar enters the professor id.,1,{decision: allow; subject: registrar; action: enter; resource: professor id; purpose: none; condition: none},ibm
247,Israeli TV says the Palestinians already are sending an advanced team to Taba to prepare for the meeting .,0,{decision: allow; subject: none; action: send; resource: advanced team; condition: none; purpose: to prepare for the meeting},na
248,This use case starts when the Registrar requests that the system close registration.,0,{decision: allow; subject: none; action: start; resource: use case; purpose: none; condition: registrar requests that the system close registration},na
250,The patient is provided with the name for each physician.,0,{decision: allow; subject: none; action: provide; resource: name for each physician; purpose: none; condition: none},na
251,An LHCP  views his or her iTrust homepage.,1,{decision: allow; subject: lhcp; action: view; resource: itrust homepage; purpose: none; condition: none},acre
252,He can report his blood pressure (systolic and diastolic) and glucose levels.,1,{decision: allow; subject: he; action: report; resource: blood pressure; purpose: none; condition: none | decision: allow; subject: he; action: report; resource: glucose level; purpose: none; condition: none},t2p
253,A subject cannot approve projects he or she has reviewed or submitted.,1,{decision: deny; subject: subject; action: approve; resource: project; purpose: none; condition: none},collected
254,"At this point, the LHCP can view a prescription list for that patient , sorted by start date (the later date is ranked earlier).",1,{decision: allow; subject: lhcp; action: view; resource: prescription list; purpose: none; condition: none},acre
255,The administrator maintains a listing of allowable diagnoses.,1,{decision: allow; subject: administrator; action: maintain; resource: listing of allowable diagnoses; purpose: none; condition: none},t2p
256,"He says he hunted wild animals , searched the trash for food , and covered himself with leaves to make it through the winters .",0,{decision: allow; subject: he; action: cover; resource: leaves; condition: none; purpose: to make it through the winters | decision: allow; subject: he; action: hunt; resource: wild animals; condition: none; purpose: none},na
257,System presents a listing of all prescription drugs for which he has been prescribed and has taken in the last 12 months.,1,{decision: allow; subject: system; action: present; resource: listing of all prescription drugs; purpose: none; condition: none},t2p
259,"Thirdly , in getting out of the orbit of the political influence of the United States , which owns a military base in it , Correa has promised to remove it unless Washington accepts Ecuador having a military base on its land .",0,{decision: allow; subject: thirdly; action: remove; resource: military base; condition: unless washington accepts ecuador having a military base on its land; purpose: none},na
261,"Further, links are provided that contain all reviews of the reviewer, and all reviews of all reviewers of the paper, respectively.",0,{decision: allow; subject: none; action: provide; resource: links; purpose: none; condition: none},na
262,And Richmond police also looking for another teenage girl Monica Sharp went out for a walk with her dog weeks ago /.,0,{decision: allow; subject: none; action: look; resource: another teenage girl; condition: also; purpose: none},na
263,The LHCP must confirm the delete.,1,{decision: allow; subject: lhcp; action: confirm; resource: delete; purpose: none; condition: none},t2p
264,"With me now to talk more about the O'Brien case and the divisions still dividing the church are Barbara Blain , the founder of the Survivors Network in St. Louis and also joining us from Detroit Joe Mayor , the founder of a priest support group .",0,{decision: allow; subject: none; action: join; resource: survivors network; condition: also; purpose: none},na
265,"A deactivated patient can not be modified or log into the system, and can only be reactivated by the administrator.",0,{decision: deny; subject: none; action: modify; resource: deactivated patient; purpose: none; condition: none | decision: deny; subject: deactivated patient; action: log; resource: system; purpose: none; condition: none | decision: allow; subject: administrator; action: reactivate; resource: deactivated patient; purpose: none; condition: none},na
266,An LHCP sends a message to a patient or representative (no multiple recipients allowed in a single message).,1,{decision: allow; subject: lhcp; action: send; resource: message; purpose: none; condition: none},t2p
268,The Cole had just arrived in the harbor for a refueling stop .,0,{decision: allow; subject: cole; action: arrive; resource: harbor; condition: none; purpose: refueling stop},na
269,"You 've got to take an open and objective attitude in order to understand the background of a question , and then respond by focusing on the questioner 's needs .",0,"{decision: allow; subject: you; action: respond; resource: questions; condition: none; purpose: none | decision: allow; subject: you; action: take; resource: open and objective attitude; condition: none; purpose: ""in order to understand the background of a question ; and then respond by focusing on the questioner s needs""}",na
271,"But , if he steps down in September next year , we will see who on this cabinet will be the prime minister .",0,{decision: allow; subject: none; action: see; resource: who on this cabinet will be the prime minister; condition: if he steps down in september next year; purpose: none},na
273,An LHCP or UAP can add patients from his monitoring list.,1,{decision: allow; subject: lhcp; action: add; resource: patient; purpose: none; condition: none | decision: allow; subject: uap; action: add; resource: patient; purpose: none; condition: none},t2p
274,"FBI director , Louis Freeh visited Yemen today to view the investigation first hand .",0,{decision: allow; subject: fbi director; action: visit; resource: investigation; condition: none; purpose: to view the investigation first hand},na
275,The HCP must proceed with the prescription.,1,{decision: allow; subject: hcp; action: proceed; resource: prescription; purpose: none; condition: none},t2p
276,Submit  Schedule,0,{decision: allow; subject: none; action: submit; resource: schedule; condition: none; purpose: none},na
277,"Mr. Baken , says no decision has yet been made on the route the Blue Merlin will take to return the destroyer to the United States for repairs .",0,{decision: allow; subject: none; action: make; resource: decision; condition: none; purpose: to return the destroyer to the united states for repairs},na
278,"The patient chooses a specific referral from the list to view complete details about the referral: sending HCP name and specialty, receiving HCP name and specialty, time generated, priority, office visit date, and notes.",1,{decision: allow; subject: patient; action: choose; resource: referral; purpose: view complete details about the referral; condition: none},acre
279,Employees are allowed to submit expense claims with a receipt as proof for reimbursement.,1,{decision: allow; subject: employees; action: submit; resource: expense claims; condition: none; purpose: reimbursement},collected_train
280,"If the file is malformed, then no data is added, and an error message explaining the correct file structure is presented.",0,{decision: allow; subject: none; action: present; resource: error message; condition: file is malformed then; purpose: none},na
281,The hospital spokeswoman said that Cheney could go home as early as tomorrow if his recovery continues to go well .,0,{decision: allow; subject: hospital spokeswoman; action: go; resource: hospital chair; condition: if his recovery continues to go well; purpose: none},na
282,"CyberChair's functionality is described in detail in a paper, which is titled CyberChair: A Web-Based Groupware Application to Facilitate the Paper Reviewing Process.",0,{decision: allow; subject: cyberchair; action: describe; resource: cyberchair; condition: none; purpose: none},na
283,"When an LHCP views a list of his or her upcoming appointments, they are presented with an option to edit or remove the appointment.",1,{decision: allow; subject: lhcp; action: edit; resource: appointment; purpose: none; condition: lhcp views a list of his or her upcoming appointments | decision: allow; subject: lhcp; action: remove; resource: appointment; purpose: none; condition: lhcp views a list of his or her upcoming appointments},acre
284,"The input data, a timestamp, and the fact and their MID are saved.",0,{decision: allow; subject: none; action: save; resource: input data; purpose: none; condition: none | decision: allow; subject: none; action: save; resource: timestamp; purpose: none; condition: none | decision: allow; subject: none; action: save; resource: fact; purpose: none; condition: none | decision: allow; subject: none; action: save; resource: mid; purpose: none; condition: none},na
285,"From the start , they exerted pressure in order to impose sanctions and a strict policy , stricter than the policies of other Security Council member states , and this is why Security Council member states and other states did n't agree with these policies , and this led to division .",0,{decision: allow; subject: they; action: exert; resource: pressure; condition: none; purpose: in order to impose sanctions and a strict policy stricter than the policies of other security council member states},na
